,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
117,536.12,13.0,2.5,7114.615384615385,69.0,0.0,31.5,0.0,0.0,0.0,0.0
118,675.28,15.0,2.5,10225.818181818182,69.0,0.0,31.5,0.0,0.0,0.0,0.0
119,620.22,16.0,2.5,7836.022727272727,69.0,0.0,31.5,0.0,0.0,0.0,0.0
120,602.91,16.0,2.5,7288.921568627451,69.0,0.0,31.5,0.0,0.0,0.0,0.0
121,564.37,13.0,2.5,8016.542056074766,69.0,0.0,31.5,0.0,0.0,0.0,0.0
122,950.38,20.0,2.5,8445.285714285714,82.8,112.5,25.3,0.0,119.6,132.0,0.0
123,46.64,17.0,2.5,7234.375,0.0,112.5,26.4,0.0,124.8,132.0,0.0
124,23.35,18.0,2.5,5850.181818181818,0.0,112.5,26.4,0.0,124.8,132.0,0.0
125,-153.03,15.0,2.5,7211.111111111111,0.0,76.25,20.25,56.0,0.0,56.0,72.0
126,-170.33,15.0,2.5,6667.222222222223,0.0,76.25,20.25,56.0,0.0,56.0,72.0
127,-125.84,15.0,2.5,8070.4,0.0,76.25,20.25,56.0,0.0,56.0,72.0
128,167.6,10.0,2.5,7160.8,0.0,76.25,20.25,56.0,0.0,56.0,72.0
129,-130.78,15.0,2.5,7914.827586206897,0.0,76.25,20.25,56.0,0.0,56.0,72.0
130,-124.07,15.0,2.5,8120.0,0.0,76.25,20.25,56.0,0.0,56.0,72.0
131,1961.23,11.0,2.5,8572.242804217725,216.2,76.25,20.25,56.0,0.0,128.0,0.0
132,761.95,9.0,2.5,9321.6,110.4,76.25,20.25,56.0,0.0,56.0,72.0
133,807.55,12.0,2.5,9471.111111111111,110.4,76.25,20.25,56.0,0.0,128.0,0.0
134,-133.61,15.0,2.5,7827.222222222223,0.0,76.25,20.25,56.0,0.0,56.0,72.0
135,-175.62,15.0,2.5,6494.736842105263,0.0,76.25,20.25,56.0,0.0,56.0,72.0
136,-276.05,8.0,2.5,7858.780487804878,0.0,76.25,20.25,56.0,0.0,56.0,72.0
137,-122.66,15.0,2.5,8167.5,0.0,76.25,20.25,56.0,0.0,56.0,72.0
138,61.97,15.0,2.5,7499.68,92.0,15.5,0.0,114.7,0.0,0.0,114.0
139,59.15,15.0,2.5,7410.72,92.0,15.5,0.0,114.7,0.0,0.0,114.0
140,1167.52,15.0,2.5,8659.25,92.0,0.0,34.65,0.0,163.8,0.0,120.0
141,796.11,9.0,2.5,8139.75,92.0,16.25,0.0,120.25,0.0,0.0,120.0
142,731.08,8.0,2.5,6956.631578947368,92.0,15.5,0.0,114.7,0.0,0.0,114.0
143,948.73,10.0,2.5,8805.4,92.0,40.0,0.0,120.0,0.0,60.0,78.0
144,980.97,15.0,2.5,6583.0,92.0,40.0,0.0,120.0,0.0,60.0,78.0
145,599.17,15.0,2.5,7691.6,138.0,0.0,22.0,0.0,104.0,0.0,180.0
146,609.35,16.0,2.5,8151.509433962264,138.0,0.0,22.0,0.0,104.0,0.0,120.0
147,13.72,14.0,2.5,4222.916666666667,92.0,0.0,24.2,0.0,114.4,0.0,0.0
148,-1.02,11.0,2.5,5948.166666666667,115.0,0.0,0.0,0.0,0.0,0.0,0.0
