,Field_Name,Latitude,Longitude,Latitude_decimal,Longitude_decimal
86,M2V2017,"S 15° 21' 40.10""","W 54° 25' 56.60""",-15.361138888888888,-54.43238888888889
87,M6I20130,"S 17° 50' 54.70""","W 47° 12' 16.20""",-17.848527777777775,-47.2045
88,M6I20131,"S 17° 51' 31.60""","W 47° 12' 19.40""",-17.858777777777778,-47.20538888888889
89,M6I20132,"S 17° 52' 25.30""","W 47° 12' 32.00""",-17.873694444444446,-47.20888888888889
90,M6I20146,"S 18° 32' 59.00""","W 48° 42' 20.70""",-18.549722222222226,-48.70575
91,M7I2076,"S 16° 08' 35.00""",W 47° 26' 44.00'',-16.143055555555556,-47.44555555555555
92,M7I2077,"S 16° 08' 51.00""","W 47° 26' 00.00""",-16.1475,-47.43333333333333
93,M7I2078,"S 16° 07' 00.00""",W 47° 26' 02.00'',-16.116666666666667,-47.43388888888889
94,M7V2067,S 16° 39' 56.00'',W 47° 02' 52.00'',-16.665555555555553,-47.047777777777775
95,M6I20152,"S 16° 12' 10.10""","W 47° 37' 30.40""",-16.202805555555553,-47.62511111111111
96,M6I20153,"S 16° 13' 04.80""","W 47° 35' 60.00""",-16.218,-47.6
97,M6I20154,"S 16° 12' 18.90""","W 47° 36' 52.10""",-16.20525,-47.614472222222226
98,M6I20155,"S 16° 13' 29.90""","W 47° 35' 28.90""",-16.22497222222222,-47.59136111111111
99,M7I2024,"S 16° 36' 59.00""","W 47° 11' 13.60""",-16.616388888888892,-47.18711111111111
100,M7I2025,"S 16° 37' 18.80""","W 47° 11' 13.90""",-16.62188888888889,-47.187194444444444
101,M7I2026,"S 16° 37' 11.60""","W 47° 10' 41.50""",-16.61988888888889,-47.17819444444444
102,M7V2029,S 16° 36' 24.00'',W 47° 10' 14.00'',-16.60666666666667,-47.17055555555555
103,M7V2030,S 16° 36' 15.00'',W 47° 08' 51.00'',-16.604166666666668,-47.1475
104,M7V2031,S 16° 36' 01.00'',W 47° 08' 26.00'',-16.60027777777778,-47.14055555555556
105,M7V2032,S 16° 36' 51.00'',W 47° 09' 50.00'',-16.61416666666667,-47.163888888888884
106,M7V2033,S 16° 36' 46.00'',W 47° 09' 15.00'',-16.61277777777778,-47.15416666666667
107,M7V2034,S 16° 37' 48.00'',W 47° 09' 56.00'',-16.63,-47.16555555555556
108,M6I2012,"S 20° 13' 21.20""","W 48° 15' 17.70""",-20.222555555555555,-48.25491666666667
109,M6I2013,"S 20° 12' 56.90""","W 48° 14' 47.30""",-20.215805555555555,-48.24647222222222
110,M6I2014,"S 20° 12' 44.80""","W 48° 15' 23.80""",-20.212444444444444,-48.25661111111111
111,M7V2023,S 16° 33' 30.00'',W 47° 09' 13.00'',-16.558333333333334,-47.15361111111111
