,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Hybrid,Planned_Yield_kg_per_ha
113,M7I2044,25.0,2.5,2687.872340425532,103.75999999999999,106.72,118.8,DKB265PRO3,4300.0
114,M7I2046,25.0,2.5,2283.913043478261,101.19999999999999,86.60000000000001,125.4,DKB265PRO3,4300.0
115,M6I20111,13.0,2.5,6178.769230769231,186.3,119.6,132.0,3320RR2,4600.0
116,M7I20100,15.0,2.5,6447.166666666667,169.5,0.0,0.0,DKB360PRO3,6000.0
117,M7I20101,13.0,2.5,7114.615384615385,169.5,0.0,0.0,DKB360PRO3,6000.0
118,M7I2058,15.0,2.5,10225.818181818182,169.5,0.0,0.0,AG8065PRO3,8900.0
119,M7I2059,16.0,2.5,7836.022727272727,169.5,0.0,0.0,DKB290PRO3,6600.0
120,M7I2060,16.0,2.5,7288.921568627451,169.5,0.0,0.0,DKB290PRO3,6600.0
121,M7I2061,13.0,2.5,8016.542056074766,169.5,0.0,0.0,DKB290PRO3,6600.0
122,M2I2025,20.0,2.5,8445.285714285714,274.6,119.6,132.0,AS1844PRO3,6500.0
123,M2I2026,17.0,2.5,7234.375,192.9,124.8,132.0,AS1844PRO3,6500.0
124,M2I2027,18.0,2.5,5850.181818181818,192.9,124.8,132.0,AS1844PRO3,6500.0
125,M6I20142,15.0,2.5,7211.111111111111,96.5,56.0,128.0,AS1844PRO3,6300.0
126,M6I20143,15.0,2.5,6667.222222222223,96.5,56.0,128.0,AS1844PRO3,6300.0
127,M6I20144,15.0,2.5,8070.4,96.5,56.0,128.0,AS1844PRO3,6300.0
128,M6I20145,10.0,2.5,7160.8,137.0,56.0,128.0,AS1844PRO3,6300.0
129,M6I2059,15.0,2.5,7914.827586206897,96.5,56.0,128.0,AS1844PRO3,6300.0
130,M6I2060,15.0,2.5,8120.0,96.5,56.0,128.0,AS1844PRO3,6300.0
131,M6I2061,11.0,2.5,8572.242804217725,312.7,56.0,128.0,AS1844PRO3,6300.0
132,M6I2062,9.0,2.5,9321.6,206.9,56.0,128.0,AS1844PRO3,6300.0
133,M6I2063,12.0,2.5,9471.111111111111,206.9,56.0,128.0,AS1844PRO3,6300.0
134,M6I2064,15.0,2.5,7827.222222222223,96.5,56.0,128.0,AS1844PRO3,6300.0
135,M6I2065,15.0,2.5,6494.736842105263,96.5,56.0,128.0,AS1844PRO3,6300.0
136,M6I2066,8.0,2.5,7858.780487804878,96.5,56.0,128.0,AS1844PRO3,6300.0
137,M6I2067,15.0,2.5,8167.5,96.5,56.0,128.0,AS1844PRO3,6300.0
138,M6I2018,15.0,2.5,7499.68,107.5,114.7,114.0,AG9000PRO3,5600.0
139,M6I2019,15.0,2.5,7410.72,107.5,114.7,114.0,AG9000PRO3,5600.0
140,M6I2020,15.0,2.5,8659.25,218.65,163.8,120.0,AG9000PRO3,5400.0
141,M6I2021,9.0,2.5,8139.75,200.25,120.25,120.0,3500RR2,5500.0
142,M6I2075,8.0,2.5,6956.631578947368,199.5,114.7,114.0,3500RR2,5300.0
143,M6I20149,10.0,2.5,8805.4,224.0,120.0,138.0,DKB265PRO3,4400.0
144,M6I20150,15.0,2.5,6583.0,224.0,120.0,138.0,DKB265PRO3,4600.0
145,M7I2010,15.0,2.5,7691.6,160.0,104.0,180.0,AG8780PRO3,5400.0
146,M7I2011,16.0,2.5,8151.509433962264,160.0,104.0,120.0,AG8780PRO3,5400.0
147,M6I2031,14.0,2.5,4222.916666666667,116.2,114.4,0.0,DKB265PRO3,4600.0
148,M6I2032,11.0,2.5,5948.166666666667,115.0,0.0,0.0,DKB265PRO3,4600.0
149,M6I2033,13.0,2.5,3638.769230769231,208.2,114.4,0.0,DKB265PRO3,4600.0
