,yield per ha,CO2/ha,N_as_Urea_%,N_as_Nitrate_%,N_as_Ammonium_%,P_as_Phosphorus_%,P_as_P2O5_%,K_as_Potassium_%,K_as_K2O_%
1761,4442.5,1258.23,0.0,0.0,0.0,0,0,0,60
1781,3835.5555555555557,1109.83,0.0,0.0,11.0,0,52,0,0
1791,3835.5555555555557,1109.83,0.0,0.0,0.0,0,0,0,60
1811,3613.3333333333335,1058.22,0.0,0.0,11.0,0,52,0,0
1821,3613.3333333333335,1058.22,0.0,0.0,0.0,0,0,0,60
1841,2778.832116788321,-82.91,0.0,45.0,0.0,0,0,0,0
1851,2778.832116788321,-82.91,0.0,46.0,0.0,0,0,0,0
1861,2778.832116788321,-82.91,46.0,0.0,0.0,0,0,0,0
1871,4367.458482236704,-559.76,0.0,0.0,11.0,0,52,0,0
1881,4367.458482236704,-559.76,0.0,0.0,0.0,0,0,0,60
1891,4900.040855236279,-469.93,0.0,0.0,11.0,0,52,0,0
1901,4900.040855236279,-469.93,0.0,0.0,0.0,0,0,0,60
1911,4677.776605843265,-559.94,0.0,0.0,11.0,0,52,0,0
1921,4677.776605843265,-559.94,0.0,0.0,0.0,0,0,0,60
1931,3610.7745564690613,-576.1,0.0,0.0,11.0,0,52,0,0
1941,3610.7745564690613,-576.1,0.0,0.0,0.0,0,0,0,60
1951,5174.348697394789,167.25,0.0,0.0,11.0,0,52,0,0
1961,5174.348697394789,167.25,0.0,0.0,0.0,0,0,0,60
1971,5174.348697394789,167.25,46.0,0.0,0.0,0,0,0,0
1981,4983.862461765636,-517.03,0.0,0.0,11.0,0,52,0,0
1991,4983.862461765636,-517.03,0.0,0.0,0.0,0,0,0,60
2001,4856.646825396825,-492.96,0.0,0.0,11.0,0,52,0,0
2011,4856.646825396825,-492.96,0.0,0.0,0.0,0,0,0,60
2021,5222.068965517241,94.93,0.0,0.0,11.0,0,52,0,0
2031,5222.068965517241,94.93,0.0,0.0,0.0,0,0,0,60
2041,5222.068965517241,94.93,46.0,0.0,0.0,0,0,0,0
2051,5696.892138939671,147.03,0.0,0.0,11.0,0,52,0,0
2061,5696.892138939671,147.03,0.0,0.0,0.0,0,0,0,60
2071,5696.892138939671,147.03,46.0,0.0,0.0,0,0,0,0
2081,3796.03305785124,-598.51,0.0,0.0,11.0,0,52,0,0
2091,4414.311377245509,-563.55,0.0,0.0,11.0,0,52,0,0
2101,3461.0810810810813,813.39,46.0,0.0,0.0,0,0,0,0
2111,4189.333333333333,890.3,0.0,0.0,11.0,0,52,0,0
2121,4189.333333333333,890.3,0.0,0.0,0.0,0,0,0,60
2131,4189.333333333333,890.3,46.0,0.0,0.0,0,0,0,0
2141,4189.333333333333,890.3,46.0,0.0,0.0,0,0,0,0
2151,3646.823529411765,40.85,0.0,0.0,11.0,0,52,0,0
2161,3646.823529411765,40.85,0.0,0.0,0.0,0,0,0,60
2171,3646.823529411765,40.85,46.0,0.0,0.0,0,0,0,0
2201,2054.3529411764707,866.61,0.0,0.0,11.0,0,52,0,0
2211,2054.3529411764707,866.61,0.0,0.0,11.0,0,52,0,0
