,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
161,M6I20109,864.07,13.0,2.5,7783.466666666666,199.0,111.0,132.0
162,M6I20119,932.34,19.0,2.5,6045.238095238095,199.0,111.0,132.0
163,M7I2001,2098.82,22.0,2.5,6463.9,292.5,78.0,108.0
164,M7I2002,1013.55,22.0,2.5,7839.1,194.0,70.0,128.0
165,M7I2003,1099.29,17.0,2.5,6208.125,217.66,73.12,128.0
166,M7I2004,874.87,21.0,2.5,11079.56043956044,171.0,70.0,128.0
167,M6I2088,1025.8,16.0,2.5,7862.777777777777,220.0,108.0,150.0
168,M6I2089,1027.58,17.0,2.5,7277.407407407408,220.0,108.0,150.0
169,M6I2090,1002.87,17.0,2.5,6498.360655737705,220.0,108.0,150.0
170,M6I2071,-704.43,15.0,2.5,3659.020979020979,16.5,78.0,108.0
171,M7I2069,792.55,12.0,2.5,5920.865994774169,200.32,117.24,120.0
172,M7I2070,829.63,15.0,2.5,5585.280080381814,198.55,106.19999999999999,120.0
173,M7I2071,890.6,16.0,2.5,6939.067378386544,198.275,104.89999999999999,120.0
174,M7I2072,969.56,20.0,2.5,6337.936154417224,200.49,119.38,120.0
175,M7I2073,899.78,16.0,2.5,6838.920900995286,200.105,117.56,120.0
176,M7I2074,932.07,18.0,2.5,6835.833333333333,198.66,106.72,120.0
177,M6I20113,703.84,14.0,2.5,4542.794117647059,186.3,119.6,132.0
178,M6I2072,581.43,11.0,2.5,4341.0,186.3,119.6,0.0
179,M7I2068,1217.99,23.0,2.5,7416.722222222223,212.1,83.2,100.2
180,M6I20136,1109.08,21.0,2.5,4730.902377105931,211.5,130.0,150.0
181,M6I20137,1098.14,21.0,2.5,4390.595009596929,211.5,130.0,150.0
182,M6I20138,1194.88,21.0,2.5,7440.571428571428,211.5,130.0,150.0
183,M6I20139,1192.08,22.0,2.5,6708.032128514056,211.5,130.0,150.0
184,M6I2079,1950.48,8.0,2.5,9276.57142857143,297.12,99.84,97.2
185,M6I2080,1935.19,8.0,2.5,8748.695652173914,297.23,100.36,97.2
186,M6I2081,2039.91,13.0,2.5,8759.0,297.01,99.32,108.0
187,M6I2082,2001.49,13.0,2.5,7341.111111111111,297.45,101.4,111.0
188,M6I2083,2034.25,15.0,2.5,7038.75,297.56,101.92,111.0
189,M6I2084,1274.52,15.0,2.5,8870.0,228.34,100.88,97.8
190,M6I2085,512.23,10.0,2.5,10769.454545454546,185.2,120.0,130.0
191,M6I2087,993.24,19.0,2.5,7521.25,197.9,109.2,69.0
192,M6I2099,1109.08,18.0,2.5,7253.0,213.3,182.0,75.0
193,M6I20100,1178.45,17.0,2.5,10580.588235294115,209.3,119.6,120.0
194,M6I20101,1145.55,14.0,2.5,11482.658227848102,209.3,119.6,120.0
195,M6I20102,1035.35,12.0,2.5,9292.307692307691,209.3,119.6,120.0
196,M7I2019,1107.87,24.0,2.5,6757.086614173229,200.28,76.96,103.2
197,M7I2020,1094.84,24.0,2.5,6328.676470588235,200.28,76.96,105.0
198,M7I2021,1150.63,24.0,2.5,7115.833333333333,203.57999999999998,92.56,103.2
