,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses
88,0.0,0.0,0.0,M2V2027,2.5,1664.421052631579,3214.68,450,16
89,0.0,0.0,0.0,M2V2028,2.5,3197.9710144927535,296.23,450,21
90,0.0,0.0,0.0,M2V2029,4,2576.5942028985505,-147.6,450,19
91,2100.0,0.0,2100.0,M2V2030,2.5,4753.053892215569,-62.67,450,19
92,10400.0,11500.0,10400.0,M2V2101,2.5,4699.857142857143,575.77,450,23
93,10400.0,11500.0,4000.0,M2V2102,2.45,5028.315789473684,519.62,450,19
94,10400.0,11500.0,10400.0,M2V2103,2.9,5892.413793103448,258.82,450,21
95,10400.0,11500.0,10400.0,M2V2104,2.855,4361.6,95.45,450,15
96,10400.0,11500.0,10400.0,M2V2105,2.21,4832.9807692307695,682.7,450,18
97,0.0,0.0,0.0,M2V2106,3.8333333333333335,816.7682926829268,-1058.29,450,19
98,10000.0,0.0,7500.0,M2V2107,3.0479629629629637,991.2258064516129,78.64,450,18
99,0.0,0.0,0.0,M2V2108,2.83,471.0975609756098,435.27,450,15
100,0.0,0.0,0.0,M2V2109,2.9,358.9024390243902,-487.94,450,18
101,0.0,0.0,0.0,M2V2110,2.9909230769230772,1865.2631578947369,464.19,450,20
102,0.0,0.0,0.0,M2V2111,2.9569565217391305,2578.777777777778,632.52,450,25
103,0.0,0.0,0.0,M2V2118,2.845090909090909,3009.1017964071857,-711.77,450,17
104,0.0,0.0,0.0,M2V2119,2.45,580.1666666666666,-691.47,450,12
105,2070.0,9200.0,0.0,M2V2120,3.659,4537.820512820513,199.66,450,19
106,2070.0,9200.0,0.0,M2V2121,3.7090000000000005,4523.037974683544,316.35,450,20
107,0.0,0.0,0.0,M2V2122,2.796,4142.857142857143,789.27,450,22
108,2070.0,9200.0,0.0,M2V2123,2.625,4189.909090909091,1035.3,450,23
109,2070.0,9200.0,0.0,M2V2124,2.823,5031.623931623932,325.0,450,18
110,2340.0,10400.0,0.0,M2V2125,2.88,3364.967320261438,965.91,450,23
111,0.0,0.0,0.0,M2V2126,2.5,3244.3333333333335,1159.53,450,20
112,0.0,0.0,0.0,M2V2127,2.5,3085.176470588235,1165.53,450,20
113,0.0,0.0,0.0,M2V2128,3.5,4290.0,32.85,450,10
114,0.0,0.0,0.0,M2V2129,3.6,3139.813664596273,-1145.98,450,8
115,0.0,0.0,0.0,M4V2001,2.2,5705.454545454545,1113.0,450,17
116,0.0,0.0,0.0,M4V2002,3.5,5053.1506849315065,-760.82,450,13
117,0.0,0.0,0.0,M4V2003,2.2,2742.0833333333335,820.0,450,11
118,8250.0,0.0,3000.0,M4V2004,4.546842105263158,4076.4,-1323.71,450,13
119,0.0,0.0,0.0,M4V2007,2.7263157894736842,4159.75,996.19,450,15
120,0.0,0.0,0.0,M4V2008,4.366666666666666,4323.0,-476.89,450,15
121,0.0,0.0,0.0,M4V2009,4.057142857142857,4161.029411764706,-152.04,450,14
122,0.0,0.0,0.0,M4V2010,4.1875,4053.6666666666665,-204.65,450,11
123,0.0,0.0,0.0,M4V2011,2.5,6087.083333333333,985.51,450,15
124,18130.5,0.0,0.0,M4V2013,2.5,3914.354066985646,-75.24,450,15
125,19323.0,0.0,0.0,M4V2014,2.5,5539.351851851851,76.09,450,16
126,17694.0,0.0,0.0,M4V2015,2.5,3080.96,-3.68,450,21
127,18468.0,0.0,0.0,M4V2016,2.5,4692.566371681416,-16.24,450,15
128,18999.0,0.0,0.0,M4V2017,2.5,4433.218334154756,-42.83,450,15
129,18351.0,0.0,0.0,M4V2018,2.5,4414.5077720207255,-73.84,450,15
130,0.0,0.0,0.0,M4V2028,2.476,4068.5714285714284,728.41,450,8
131,0.0,0.0,0.0,M4V2029,2.2181818181818183,3456.6153846153848,854.53,450,14
132,0.0,0.0,0.0,M4V2030,1.9928571428571427,3921.0810810810813,972.93,450,13
133,0.0,0.0,0.0,M4V2031,2.166666666666667,3768.75,936.96,450,15
