,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Crop_Area_Ha,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
109,12480.0,0.0,2400.0,M6I20114,40,2.5,2285.0,1256.85
110,1500.0,9000.0,3000.0,M6I20115,89,2.5,3834.494382022472,750.63
111,1500.0,9000.0,3000.0,M6I20116,118,2.5,4153.220338983051,854.15
112,1330.0,7980.0,2660.0,M6I20117,108,2.5,3612.962962962963,814.24
113,9000.0,0.0,0.0,M6I20118,65,2.5,3366.4615384615386,-289.27
114,1500.0,11100.0,0.0,M6I20119,21,2.5,2739.5238095238096,932.34
115,0.0,0.0,7200.0,M6I2012,104,2.5,3829.1346153846152,-577.94
116,2240.0,11200.0,0.0,M6I20122,42,2.5,3190.2380952380954,855.43
117,2320.0,12760.0,0.0,M6I20123,60,2.5,2971.3333333333335,876.99
118,4640.0,25520.0,0.0,M6I20125,50,2.5,4087.2,338.27
119,2240.0,11200.0,0.0,M6I20126,105,2.5,3451.809523809524,1088.88
120,0.0,0.0,7200.0,M6I2013,104,2.5,4292.692307692308,163.09
121,1000.0,7500.0,5000.0,M6I20134,100,2.5,4164.7,730.99
122,1620.0,11988.0,0.0,M6I20135,85,2.5,4362.705882352941,905.4
123,9000.0,0.0,7200.0,M6I2014,89,2.5,4125.393258426966,496.51
124,0.0,0.0,9000.0,M6I20140,70,2.5,1828.0,238.65
125,5600.0,5600.0,5600.0,M6I20142,18,2.5,3447.222222222222,-153.03
126,5600.0,5600.0,5600.0,M6I20143,18,2.5,3261.6666666666665,-170.33
127,5600.0,5600.0,5600.0,M6I20144,25,2.5,4075.6,-125.84
128,5600.0,5600.0,5600.0,M6I20145,25,2.5,3445.6,167.6
129,14000.0,12000.0,3200.0,M6I20147,40,2.5,6275.5,-33.22
130,4000.0,12000.0,6000.0,M6I20149,50,2.5,4389.6,948.73
131,4000.0,12000.0,6000.0,M6I20150,50,2.5,3754.2,980.97
132,500.0,5000.0,5000.0,M6I20163,60,2.5,4065.5,1163.01
133,10486.0,8664.0,7707.0,M6I20164,96,2.5,3099.6875,-490.81
134,1800.0,10800.0,5400.0,M6I20165,32.5,2.5,2390.153846153846,811.5
135,1800.0,10800.0,5400.0,M6I20166,47.5,2.5,2664.4210526315787,783.94
136,3600.0,10800.0,5400.0,M6I20167,35,2.5,1846.0,791.93
137,3600.0,10800.0,5400.0,M6I20168,37.5,2.5,3111.2,1052.09
138,10880.0,11040.0,8520.0,M6I20170,40,2.5,2028.5,-493.5
139,3300.0,9900.0,0.0,M6I20174,88,2.5,3452.3863636363635,-623.14
140,2400.0,12000.0,0.0,M6I20175,25,2.5,4123.2,814.34
141,6100.0,12000.0,7000.0,M6I20177,40,2.5,6247.75,472.93
142,2400.0,12000.0,0.0,M6I20178,25,2.5,7152.0,876.91
143,6100.0,12000.0,7000.0,M6I20179,45,2.5,5480.666666666667,456.07
144,1550.0,11470.0,0.0,M6I2018,125,2.5,3871.28,61.97
145,2400.0,12000.0,0.0,M6I20180,75,2.5,1951.8666666666666,557.01
146,1550.0,11470.0,0.0,M6I2019,125,2.5,3964.72,59.15
147,1625.0,12025.0,0.0,M6I2021,120,2.5,4822.833333333333,796.11
148,1800.0,9000.0,0.0,M6I2022,95,2.5,3857.684210526316,549.46
149,20600.0,7800.0,9000.0,M6I2025,52,2.5,3364.6153846153848,-59.9
150,3500.0,10500.0,0.0,M6I2026,90,2.5,2826.6666666666665,-666.04
151,3300.0,9900.0,0.0,M6I2027,104,2.5,3543.846153846154,-621.57
152,3300.0,9900.0,0.0,M6I2028,122,2.5,3157.7049180327867,-631.81
153,3300.0,9900.0,0.0,M6I2029,56,2.5,3660.714285714286,-649.24
154,3300.0,9900.0,0.0,M6I2030,75,2.5,3166.0,-645.24
155,20550.0,4800.0,4800.0,M6I2035,60,2.5,3003.3333333333335,-220.35
156,21600.0,21600.0,21600.0,M6I2036,180,2.5,2327.722222222222,3847.21
157,6000.0,6000.0,6000.0,M6I2037,100,2.5,3051.8,415.52
158,5600.0,5600.0,5600.0,M6I2059,29,2.5,3782.4137931034484,-130.78
159,5600.0,5600.0,5600.0,M6I2060,48,2.5,4185.833333333333,-124.07
160,5600.0,5600.0,12800.0,M6I2061,70.18,2.5,4595.896266742661,1961.23
161,5600.0,5600.0,5600.0,M6I2062,75,2.5,4851.866666666667,761.95
162,5600.0,5600.0,12800.0,M6I2063,36,2.5,4938.333333333333,807.55
