,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Crop_Area_Ha,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
313,1100.0,8140.0,0.0,M7I2041,56,2.5,2173.214285714286,352.49
314,1100.0,8140.0,0.0,M7I2042,27,2.5,986.6666666666666,358.37
315,1100.0,8140.0,0.0,M7I2043,70,2.5,1495.4285714285713,375.07
316,1400.0,10360.0,0.0,M7I2044,47,2.5,1485.531914893617,300.12
317,1560.0,11544.0,0.0,M7I2045,104,2.5,5816.346153846154,1069.84
318,1100.0,8140.0,0.0,M7I2046,23,2.5,1156.9565217391305,275.9
319,2000.0,10800.0,3200.0,M7I2047,125,2.5,2097.92,785.26
320,4000.0,10800.0,3200.0,M7I2048,125,2.5,3279.52,1050.97
321,4000.0,10800.0,3200.0,M7I2049,125,2.5,3314.4,1153.82
322,2000.0,10800.0,3200.0,M7I2050,125,2.5,3390.0,1549.26
323,2000.0,10800.0,3200.0,M7I2051,125,2.5,4465.52,1085.45
324,1500.0,11100.0,0.0,M7I2069,80.37,2.5,3412.2184894861266,792.55
325,1400.0,10360.0,0.0,M7I2070,79.62,2.5,3276.563677467973,829.63
326,1400.0,10360.0,0.0,M7I2071,99.29,2.5,4065.565515157619,890.6
327,1550.0,11470.0,0.0,M7I2072,134.7,2.5,3510.6161841128437,969.56
328,1550.0,11470.0,0.0,M7I2073,152.72,2.5,3915.9245678365637,899.78
329,1400.0,10360.0,0.0,M7I2074,96,2.5,4225.208333333333,932.07
330,1050.0,7350.0,0.0,M7I2087,100,2.5,3815.4,824.26
331,1050.0,7350.0,0.0,M7I2088,80,2.5,3974.375,865.97
332,1100.0,7700.0,0.0,M7I2089,75,2.5,3680.4,870.72
333,1050.0,7350.0,0.0,M7I2090,52,2.5,2612.5,727.1
334,1450.0,10730.0,0.0,M7I2096,50,2.5,2464.8,960.06
335,3120.0,23088.0,0.0,M7I2098,68,2.5,4171.764705882353,1088.29
336,2420.0,11220.0,0.0,M7I21107,140,3.574647887323944,3660.0,-140.26
337,2500.0,7000.0,2500.0,M7I21124,20,1.8857142857142857,1980.0,1363.32
338,2500.0,7000.0,2500.0,M7I21125,62,1.7,1500.0,1199.44
339,1265.0,7084.0,0.0,M7I21126,92,2.20625,1206.0869565217392,949.9
340,1265.0,9361.0,0.0,M7I21127,107,1.586111111111111,1740.0,1283.56
341,2500.0,7000.0,2500.0,M7I21128,136,1.9933333333333334,1980.0,1303.87
342,2500.0,7000.0,2500.0,M7I21129,150,2.225,2100.0,890.51
343,2500.0,7000.0,2500.0,M7I21130,94,1.5,2100.0,1306.64
344,2205.0,9800.0,0.0,M7I2124,202.51,2.2,2904.0047405066416,1256.69
345,2205.0,9800.0,0.0,M7I2125,35.65,3.1,2729.873772791024,525.31
346,2205.0,9800.0,0.0,M7I2126,56.9,2.6,2730.0527240773285,917.24
347,2240.0,11200.0,0.0,M7I2129,38,3.2,2963.9473684210525,354.92
348,1920.0,9600.0,0.0,M7I2130,80,4.2,3840.0,-355.63
349,1920.0,9600.0,0.0,M7I2131,48,3.5,3312.0833333333335,131.19
350,1920.0,9600.0,0.0,M7I2132,91,3.6,3311.978021978022,109.16
351,1920.0,9600.0,0.0,M7I2133,100,4.4,3834.0,-504.55
352,1920.0,9600.0,0.0,M7I2134,100,2.3,3834.0,1055.45
353,1920.0,9600.0,0.0,M7I2135,111,2.7071428571428573,3140.990990990991,848.81
354,1920.0,9600.0,0.0,M7I2136,112,2.4,2915.3571428571427,995.0
355,1050.0,7770.0,0.0,M7I2150,104,3.3,2400.0,83.5
356,1050.0,7770.0,0.0,M7I2151,100,3.1,3717.0,349.32
357,1050.0,7770.0,0.0,M7I2152,82,3.35,3540.0,116.95
358,1050.0,7770.0,0.0,M7I2153,73,3.05,3540.0,401.31
359,1050.0,7770.0,0.0,M7I2154,110,2.8,2400.0,567.91
360,1050.0,7770.0,0.0,M7I2155,110,3.5,2340.0,56.43
361,2000.0,9200.0,0.0,M7I2162,125,2.542222222222222,2640.0,571.3
362,1400.0,10360.0,0.0,M7I2166,104.5,2.5,4200.0,1038.11
363,1400.0,10360.0,0.0,M7I2167,106,2.5,4410.0,205.61
364,1175.0,8695.0,0.0,M7I2168,79.63,2.1875,3779.982418686425,1210.74
365,1175.0,8695.0,0.0,M7I2169,80.37,1.8125,3780.0174194351125,1448.31
366,1400.0,10360.0,0.0,M7I2170,96,2.2399999999999998,2700.0,1373.13
367,1175.0,8695.0,0.0,M7I2171,99.29,1.988888888888889,3780.0382717292778,1351.55
368,1175.0,8695.0,0.0,M7I2172,134.7,1.776923076923077,3959.9851521900523,1638.82
369,1300.0,9620.0,0.0,M7I2173,152.71,1.6933333333333334,3959.989522624582,1721.33
370,2400.0,12000.0,0.0,M7V2110,102,2.3,3888.235294117647,1379.92
371,4000.0,10800.0,3200.0,M7V2111,125,2.5,3704.0,995.51
372,4000.0,10800.0,3200.0,M7V2112,125,2.5,3497.28,932.95
373,1028.0,7710.0,11150.0,M8V2101,56.5,2.006896551724138,3013.9823008849557,1563.34
374,1028.0,7710.0,11150.0,M8V2102,82,1.9853658536585368,2443.9024390243903,1375.42
375,1700.0,12580.0,0.0,M8V2131,102,4.611764705882353,5823.725490196079,-148.62
376,2400.0,12000.0,0.0,M8V2138,100,4.1125,3032.3,-1866.87
377,1700.0,12580.0,0.0,M8V2146,48,3.7,3327.5,456.16
378,1700.0,12580.0,0.0,M8V2148,40,4.88125,2681.75,-350.22
379,1700.0,12580.0,0.0,M8V2150,38.5,5.9074074074074066,2829.6103896103896,-233.82
380,1600.0,12800.0,0.0,M8V2151,56,2.5,3215.714285714286,-665.62
381,9000.0,0.0,6000.0,M8V2152,28,2.5,1100.0,429.34
382,9000.0,0.0,6000.0,M8V2153,25,2.5,628.0,406.39
