,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
123,1420.09,22.0,2.3,7250.272509265315,216.408,5.2,72.0
124,1363.35,20.0,1.98,8300.277777777777,186.8272,2.6,93.12
125,712.36,8.0,2.5,7132.0,197.39999999999998,119.6,0.0
126,-15.82,9.0,3.485483870967741,7907.5,193.0,98.8,0.0
127,491.82,24.0,2.2008333333333328,6300.0,156.7,0.0,150.0
128,1342.52,9.0,2.1412499999999994,11026.142857142857,210.4,124.8,123.0
129,1014.71,24.0,2.598846153846154,7299.866666666667,190.9,0.0,135.6
130,1068.16,30.0,2.061562500000001,6932.631578947368,142.6,0.0,120.0
131,724.29,13.0,2.4,4618.048780487805,183.54,0.0,0.0
132,701.71,19.0,2.6,4278.166666666667,186.6,0.0,0.0
133,652.23,17.0,2.6,4003.5833333333335,186.6,0.0,0.0
134,-42.83,15.0,2.5,7816.165598817151,189.99,0.0,118.2
135,-73.84,15.0,2.5,7821.632124352332,183.51,0.0,104.94
136,52.6,19.0,2.45,3772.0,101.2,0.0,0.0
137,-1727.93,11.0,4.5,3166.5853658536585,92.0,0.0,0.0
138,-670.44,21.0,4.5,4518.214285714285,184.0,0.0,0.0
139,754.15,19.0,2.5,3878.017241379311,184.0,0.0,0.0
140,296.23,21.0,2.5,7863.188405797101,112.0,0.0,108.0
141,-147.6,19.0,4.0,7313.695652173913,192.5,0.0,108.0
142,-107.58,10.0,2.4435294117647057,6401.991150442477,198.0,90.0,120.0
143,-244.31,12.0,2.76,8559.714285714286,92.0,0.0,0.0
144,950.49,23.0,2.6,8407.225806451614,184.46,0.0,99.6
145,996.76,21.0,2.5,10259.453125,184.0,0.0,0.0
146,908.8,19.0,2.5,8770.985915492958,184.0,0.0,0.0
147,993.89,24.0,2.551489361702128,9424.782608695652,184.0,0.0,0.0
148,1038.15,23.0,2.3996666666666657,7915.083333333333,184.0,0.0,0.0
149,834.37,28.0,2.80340909090909,7711.978021978022,184.0,0.0,0.0
150,266.63,20.0,2.5,6222.300884955752,119.6,0.0,0.0
151,-75.24,15.0,2.5,7627.272727272728,181.305,0.0,138.0
152,76.09,16.0,2.5,10810.185185185184,193.23,0.0,94.8
153,-3.68,21.0,2.5,6524.8,176.94,0.0,138.6
154,-16.24,15.0,2.5,8779.38053097345,184.68,0.0,159.6
155,76.92,11.0,2.9,3938.991596638656,164.57999999999998,98.8,0.0
156,261.41,10.0,2.7,7206.190476190476,181.5,100.88,17.6
157,-71.95,18.0,2.5,5889.714285714285,181.71,0.0,125.7
158,-171.78,15.0,2.5,5573.333333333333,173.7,0.0,133.32
159,1113.0,17.0,2.2,10422.657342657343,174.8,0.0,141.0
160,-760.82,13.0,3.5,8869.86301369863,87.4,0.0,96.0
161,820.0,11.0,2.2,5752.083333333333,173.65,0.0,114.0
162,474.06,15.0,2.5,6034.285714285715,151.8,0.0,84.0
163,734.38,13.0,2.5,5973.846153846154,184.0,0.0,90.0
164,-342.56,15.0,3.9441666666666655,7328.795811518324,174.8,0.0,90.0
165,1114.17,12.0,2.1,8843.460891505467,184.0,0.0,120.0
166,-1323.71,13.0,4.546842105263158,8287.2,165.3,0.0,30.0
167,-750.58,12.0,4.336,8626.0,211.3,0.0,37.5
168,240.19,18.0,3.7,8892.888888888889,209.3,119.6,0.0
169,-58.27,16.0,4.0,7797.555555555556,209.3,119.6,0.0
170,113.04,16.0,3.7,6168.210526315789,209.3,119.6,0.0
171,-1403.76,15.0,4.01,10580.697674418603,46.0,0.0,0.0
172,-454.09,15.0,3.7,9857.0,138.0,0.0,0.0
173,854.53,14.0,2.2181818181818183,6424.923076923077,170.2,0.0,108.0
174,972.93,13.0,1.9928571428571429,6806.216216216216,165.6,0.0,114.0
175,936.96,15.0,2.166666666666667,7095.833333333333,170.2,0.0,114.0
176,1119.41,21.0,2.9016666666666664,12740.869565217392,214.8,145.6,120.0
177,183.82,19.0,3.727576923076923,3862.125,214.8,145.6,120.0
178,887.96,14.0,2.8793666666666664,9444.08,214.8,145.6,120.0
179,134.81,13.0,2.683333333333333,7726.666666666667,162.76,0.0,68.52
180,-270.7,16.0,4.5,7871.720430107527,221.66000000000003,117.52,90.0
181,78.11,22.0,4.015,7277.131147540984,208.3,104.0,120.0
182,498.02,25.0,3.505,6395.0,208.85000000000002,106.6,120.0
183,675.88,28.0,3.4274509803921567,5601.866666666667,219.68,108.16,78.0
184,1260.4,22.0,2.5,8800.714285714286,209.18,108.16,120.0
185,518.34,18.0,3.254545455,6661.2,206.0,104.0,120.0
186,-65.3,21.0,3.25,6954.0,111.1,104.0,120.0
187,-92.35,10.0,3.1782142857142865,8528.392857142857,147.2,0.0,90.0
188,-266.22,14.0,2.5,10678.260869565218,97.55000000000001,127.1,191.5
189,297.04,23.0,2.5,11137.241379310344,202.55,127.1,169.0
190,-773.93,15.0,2.62,7390.37037037037,0.0,0.0,75.0
191,61.57,24.0,2.62,4024.255319148936,98.9,0.0,105.0
192,-85.23,11.0,2.4866666666666672,7473.566878980892,198.0,90.0,120.0
193,889.29,25.0,3.1,8704.85294117647,211.5,130.0,108.0
194,1379.92,29.0,2.3,6867.156862745098,208.0,120.0,108.0
195,802.59,15.0,0.5903333333333334,9676.0,23.3,76.89,0.0
196,534.02,15.0,1.453709677419355,11065.76,69.3,76.89,0.0
197,744.04,15.0,0.5900000000000001,9590.416666666666,0.0,0.0,90.0
198,-1008.32,15.0,3.73,12916.551724137931,112.33,105.56,120.0
199,-454.38,15.0,2.4,6429.756097560976,29.7,140.4,0.0
200,836.03,13.0,2.7416666666666667,4611.452991452991,216.2,0.0,90.0
201,532.7,15.0,2.665,6139.406779661017,174.8,0.0,0.0
202,562.63,12.0,2.6,4517.25,184.66,3.12,0.0
