,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
52,0.0,0.0,0.0,M2V2013,2.5,3961.309523809524,786.2
53,0.0,0.0,0.0,M2V2014,2.5,3812.621951219512,657.14
54,0.0,0.0,0.0,M2V2015,2.8,1850.4736842105262,-590.36
55,0.0,0.0,0.0,M2V2016,2.5,2536.6463414634145,-271.76
56,0.0,0.0,0.0,M2V2017,2.5,3461.0810810810813,813.39
57,0.0,0.0,0.0,M2V2018,2.6,3779.8709677419356,950.49
58,0.0,0.0,0.0,M2V2019,2.9,1753.6134453781513,76.92
59,4224.0,0.0,1760.0,M2V2020,2.7,2494.7619047619046,261.41
60,0.0,0.0,0.0,M2V2023,2.5,3380.5555555555557,712.36
61,0.0,0.0,0.0,M2V2024,3.485483870967741,2965.3333333333335,-15.82
62,0.0,0.0,0.0,M2V2025,2.4,991.4634146341464,724.29
63,0.0,0.0,0.0,M2V2026,1.9755555555555557,2234.84375,1275.25
64,0.0,0.0,0.0,M2V2027,2.5,1664.421052631579,3214.68
65,0.0,0.0,0.0,M2V2028,2.5,3197.9710144927535,296.23
66,0.0,0.0,0.0,M2V2029,4,2576.5942028985505,-147.6
67,2100.0,0.0,2100.0,M2V2030,2.5,4753.053892215569,-62.67
68,10400.0,11500.0,10400.0,M2V2101,2.5,4699.857142857143,575.77
69,10400.0,11500.0,4000.0,M2V2102,2.45,5028.315789473684,519.62
70,10400.0,11500.0,10400.0,M2V2103,2.9,5892.413793103448,258.82
71,10400.0,11500.0,10400.0,M2V2104,2.855,4361.6,95.45
72,10400.0,11500.0,10400.0,M2V2105,2.21,4832.9807692307695,682.7
73,0.0,0.0,0.0,M2V2106,3.8333333333333335,816.7682926829268,-1058.29
74,10000.0,0.0,7500.0,M2V2107,3.0479629629629637,991.2258064516129,78.64
75,0.0,0.0,0.0,M2V2108,2.83,471.0975609756098,435.27
76,0.0,0.0,0.0,M2V2109,2.9,358.9024390243902,-487.94
77,0.0,0.0,0.0,M2V2110,2.9909230769230772,1865.2631578947369,464.19
78,0.0,0.0,0.0,M2V2111,2.9569565217391305,2578.777777777778,632.52
79,0.0,0.0,0.0,M2V2118,2.845090909090909,3009.1017964071857,-711.77
80,0.0,0.0,0.0,M2V2119,2.45,580.1666666666666,-691.47
81,0.0,0.0,0.0,M2V2126,2.5,3244.3333333333335,1159.53
82,0.0,0.0,0.0,M2V2127,2.5,3085.176470588235,1165.53
83,0.0,0.0,0.0,M2V2128,3.5,4290.0,32.85
84,0.0,0.0,0.0,M2V2129,3.6,3139.813664596273,-1145.98
85,0.0,0.0,0.0,M4V2001,2.2,5705.454545454545,1113.0
86,0.0,0.0,0.0,M4V2002,3.5,5053.1506849315065,-760.82
87,0.0,0.0,0.0,M4V2003,2.2,2742.0833333333335,820.0
88,8250.0,0.0,3000.0,M4V2004,4.546842105263158,4076.4,-1323.71
89,0.0,0.0,0.0,M4V2007,2.7263157894736842,4159.75,996.19
90,0.0,0.0,0.0,M4V2008,4.366666666666666,4323.0,-476.89
91,0.0,0.0,0.0,M4V2009,4.057142857142857,4161.029411764706,-152.04
92,0.0,0.0,0.0,M4V2010,4.1875,4053.6666666666665,-204.65
93,0.0,0.0,0.0,M4V2011,2.5,6087.083333333333,985.51
94,18130.5,0.0,0.0,M4V2013,2.5,3914.354066985646,-75.24
95,19323.0,0.0,0.0,M4V2014,2.5,5539.351851851851,76.09
96,17694.0,0.0,0.0,M4V2015,2.5,3080.96,-3.68
97,18468.0,0.0,0.0,M4V2016,2.5,4692.566371681416,-16.24
98,18999.0,0.0,0.0,M4V2017,2.5,4433.218334154756,-42.83
99,18351.0,0.0,0.0,M4V2018,2.5,4414.5077720207255,-73.84
100,0.0,0.0,0.0,M4V2028,2.476,4068.5714285714284,728.41
101,0.0,0.0,0.0,M4V2029,2.2181818181818183,3456.6153846153848,854.53
102,0.0,0.0,0.0,M4V2030,1.9928571428571427,3921.0810810810813,972.93
103,0.0,0.0,0.0,M4V2031,2.166666666666667,3768.75,936.96
104,0.0,0.0,0.0,M4V2032,2.5,3895.20325203252,592.24
105,0.0,0.0,0.0,M4V2033,2.5,5710.30303030303,646.13
106,0.0,0.0,0.0,M4V2034,2.1914285714285713,3231.6,1559.94
107,0.0,0.0,0.0,M4V2035,2.9571428571428573,6295.7692307692305,1028.86
108,0.0,0.0,0.0,M4V2036,2.2222222222222223,5484.024390243902,1611.25
109,0.0,0.0,0.0,M4V2037,2.5589705882352938,4934.418604651163,635.16
110,0.0,0.0,0.0,M4V2038,3.883030303030303,6067.810218978102,-506.96
111,8250.0,0.0,3750.0,M4V2042,4.336,4763.5,-750.58
112,5000.0,0.0,5000.0,M4V2043,2.5,5194.744318181818,-325.26
