,yield per ha,CO2/ha,Soil_Organic_Matter,Application_Rate_Unit_kg/ha,Crop_Protection_Application_Doses,Total_Water_Applied_mm,Soil_pH
3121,3783.0,961.43,2.5,200.0,13,350,5.5
3131,3783.0,961.43,2.5,198.0,13,350,5.5
3141,4267.2307692307695,1064.11,2.5,220.0,15,350,5.5
3151,4267.2307692307695,1064.11,2.5,180.0,15,350,5.5
3161,4267.2307692307695,1064.11,2.5,200.0,15,350,5.5
3171,4267.2307692307695,1064.11,2.5,196.0,15,350,5.5
3181,4260.0,1038.79,2.5,200.0,15,350,5.5
3191,4260.0,1038.79,2.5,180.0,15,350,5.5
3201,4260.0,1038.79,2.5,195.0,15,350,5.5
3211,4260.0,1038.79,2.5,200.0,15,350,5.5
3221,3112.769230769231,876.16,2.5,220.0,12,350,5.5
3231,3112.769230769231,876.16,2.5,180.0,12,350,5.5
3241,3112.769230769231,876.16,2.5,195.0,12,350,5.5
3251,3112.769230769231,876.16,2.5,200.0,12,350,5.5
3261,4696.222222222223,1058.31,2.5,220.0,15,350,5.5
3271,4696.222222222223,1058.31,2.5,150.0,15,350,5.5
3281,4696.222222222223,1058.31,2.5,200.0,15,350,5.5
3291,1162.375,1056.86,2.5,220.0,20,450,5.5
3301,1162.375,1056.86,2.5,220.0,20,450,5.5
3311,1162.375,1056.86,2.5,204.0,20,450,5.5
3321,1162.375,1056.86,2.5,206.0,20,450,5.5
3331,3018.2,-1373.27,4.6,200.0,14,450,5.5
3341,3018.2,-1373.27,4.6,220.0,14,450,5.5
3351,3018.2,-1373.27,4.6,206.0,14,450,5.5
3361,2620.0,222.16,3.5487804878048776,200.0,13,450,5.5
3371,2620.0,222.16,3.5487804878048776,210.0,13,450,5.5
3381,2620.0,222.16,3.5487804878048776,197.0,13,450,5.5
3391,2620.0,222.16,3.5487804878048776,206.0,13,450,5.5
3401,2134.5,-510.9,4.5285714285714285,200.0,16,450,5.5
3411,2134.5,-510.9,4.5285714285714285,200.0,16,450,5.5
3421,2134.5,-510.9,4.5285714285714285,198.0,16,450,5.5
3431,2134.5,-510.9,4.5285714285714285,210.0,16,450,5.5
3441,2763.0,-811.34,5.0,200.0,16,450,5.5
3451,2763.0,-811.34,5.0,210.0,16,450,5.5
3461,2763.0,-811.34,5.0,195.0,16,450,5.5
3471,2763.0,-811.34,5.0,208.0,16,450,5.5
3481,3497.4418604651164,-1247.12,4.6,200.0,17,450,5.5
3491,3497.4418604651164,-1247.12,4.6,200.0,17,450,5.5
3501,3497.4418604651164,-1247.12,4.6,205.0,17,450,5.5
3511,4758.4,-519.56,4.8,200.0,19,450,5.5
3521,4758.4,-519.56,4.8,220.0,19,450,5.5
3531,4758.4,-519.56,4.8,200.0,19,450,5.5
3541,4758.4,-519.56,4.8,205.0,19,450,5.5
3551,1647.4615384615386,-577.56,5.5,220.0,14,450,5.5
3561,1647.4615384615386,-577.56,5.5,200.0,14,450,5.5
3571,1647.4615384615386,-577.56,5.5,205.0,14,450,5.5
3581,1647.4615384615386,-577.56,5.5,208.0,14,450,5.5
3591,2910.8571428571427,561.83,3.4,220.0,24,450,5.5
3601,2910.8571428571427,561.83,3.4,204.0,24,450,5.5
3611,2910.8571428571427,561.83,3.4,205.0,24,450,5.5
3621,2910.8571428571427,561.83,3.4,200.0,24,450,5.5
3631,4305.6,181.96,2.5,5.0,17,450,5.5
3641,4305.6,181.96,2.5,150.0,17,450,5.5
3651,4305.6,181.96,2.5,194.44,17,450,5.5
3661,4305.6,181.96,2.5,20.0,17,450,5.5
3671,2070.0,-1724.9,4.05,350.0,9,450,5.5
3681,2070.0,-1724.9,4.05,400.0,9,450,5.5
3691,2070.0,-1724.9,4.05,3.0,9,450,5.5
3701,1793.0434782608695,-1769.89,4.2,350.0,12,450,5.5
3711,1793.0434782608695,-1769.89,4.2,400.0,12,450,5.5
3721,1793.0434782608695,-1769.89,4.2,3.0,12,450,5.5
3731,2368.6363636363635,1628.68,0.15,350.0,13,450,5.5
3741,2368.6363636363635,1628.68,0.15,390.0,13,450,5.5
3751,2368.6363636363635,1628.68,0.15,200.0,13,450,5.5
3761,1887.2,394.27,1.6800000000000002,350.0,11,450,5.5
3771,1887.2,394.27,1.6800000000000002,390.0,11,450,5.5
3781,1887.2,394.27,1.6800000000000002,200.0,11,450,5.5
3791,4770.0,592.87,2.5,200.0,8,350,5.5
3801,4770.0,592.87,2.5,180.0,8,350,5.5
3811,4770.0,592.87,2.5,200.0,8,350,5.5
3821,4025.9,678.78,2.5,200.0,13,350,5.5
3831,4025.9,678.78,2.5,180.0,13,350,5.5
3841,4025.9,678.78,2.5,200.0,13,350,5.5
3851,4810.932203389831,662.85,2.5,200.0,11,350,5.5
3861,4810.932203389831,662.85,2.5,180.0,11,350,5.5
3871,4810.932203389831,662.85,2.5,200.0,11,350,5.5
3881,5194.744318181818,-325.26,2.5,200.0,23,450,5.5
3891,5194.744318181818,-325.26,2.5,10.0,23,450,5.5
3901,5194.744318181818,-325.26,2.5,5.0,23,450,5.5
3911,4845.555555555556,198.65,2.16,420.0,20,450,5.5
3921,4845.555555555556,198.65,2.16,30.0,20,450,5.5
3931,4845.555555555556,198.65,2.16,200.0,20,450,5.5
3941,4845.555555555556,198.65,2.16,150.0,20,450,5.5
3951,4845.555555555556,198.65,2.16,10.0,20,450,5.5
3961,4845.555555555556,198.65,2.16,5.0,20,450,5.5
3971,1112.5,-917.13,4.5,200.0,10,450,5.5
3981,2051.276595744681,-900.04,3.61,350.0,11,450,5.5
3991,2051.276595744681,-900.04,3.61,400.0,11,450,5.5
4001,2051.276595744681,-900.04,3.61,200.0,11,450,5.5
4021,4986.866666666667,786.73,2.5,200.0,12,350,5.5
4031,4986.866666666667,786.73,2.5,130.0,12,350,5.5
4041,4986.866666666667,786.73,2.5,120.0,12,350,5.5
4051,5081.8125,793.47,2.5,200.0,12,350,5.5
4061,5081.8125,793.47,2.5,120.0,12,350,5.5
4071,5081.8125,793.47,2.5,130.0,12,350,5.5
4081,4409.770114942528,706.08,2.5,200.0,11,350,5.5
4091,4409.770114942528,706.08,2.5,180.0,11,350,5.5
4101,3812.621951219512,657.14,2.5,120.0,14,450,5.5
4111,4800.896551724138,194.58,2.47,220.0,15,450,5.5
4121,4800.896551724138,194.58,2.47,150.0,15,450,5.5
4131,6087.083333333333,985.51,2.5,135.0,15,450,5.5
4141,6087.083333333333,985.51,2.5,195.0,15,450,5.5
4151,6087.083333333333,985.51,2.5,108.0,15,450,5.5
4161,709.080459770115,363.12,2.8,150.0,14,450,5.5
4171,709.080459770115,363.12,2.8,100.0,14,450,5.5
4181,659.2592592592592,-162.48,3.4,150.0,10,450,5.5
4191,659.2592592592592,-162.48,3.4,100.0,10,450,5.5
4201,1753.4193548387098,1640.06,0.95,150.0,12,450,5.5
4211,1753.4193548387098,1640.06,0.95,100.0,12,450,5.5
4221,4907.058823529412,295.28,3.5,200.0,24,450,5.5
4231,5416.976744186047,218.81,3.65,200.0,24,450,5.5
4241,4159.75,996.19,2.726315789473684,220.0,15,450,5.5
4251,4159.75,996.19,2.726315789473684,60.0,15,450,5.5
4261,4159.75,996.19,2.726315789473684,205.0,15,450,5.5
4271,4323.0,-476.89,4.366666666666666,218.0,15,450,5.5
4281,4323.0,-476.89,4.366666666666666,60.0,15,450,5.5
4291,4323.0,-476.89,4.366666666666666,175.0,15,450,5.5
4301,4161.029411764706,-152.04,4.057142857142857,175.0,14,450,5.5
4311,4161.029411764706,-152.04,4.057142857142857,195.0,14,450,5.5
4321,4161.029411764706,-152.04,4.057142857142857,50.0,14,450,5.5
4331,4053.6666666666665,-204.65,4.1875,218.0,11,450,5.5
4341,4053.6666666666665,-204.65,4.1875,198.0,11,450,5.5
4351,4053.6666666666665,-204.65,4.1875,60.0,11,450,5.5
4361,4053.6666666666665,-204.65,4.1875,205.0,11,450,5.5
4371,3784.7311827956987,-181.11,2.9,200.0,21,450,5.5
4381,4243.192488262911,-8.44,4.1,190.0,18,450,5.5
4391,4243.192488262911,-8.44,4.1,130.0,18,450,5.5
4401,4243.192488262911,-8.44,4.1,150.0,18,450,5.5
4411,4243.192488262911,-8.44,4.1,60.0,18,450,5.5
4421,4243.192488262911,-8.44,4.1,200.0,18,450,5.5
4431,3820.276497695853,304.35,3.6,190.0,17,450,5.5
4441,3820.276497695853,304.35,3.6,130.0,17,450,5.5
4451,3820.276497695853,304.35,3.6,150.0,17,450,5.5
4461,3820.276497695853,304.35,3.6,200.0,17,450,5.5
4471,3820.276497695853,304.35,3.6,60.0,17,450,5.5
4481,4241.517857142858,795.7,2.5,130.0,10,450,5.5
4491,4241.517857142858,795.7,2.5,150.0,10,450,5.5
4501,4241.517857142858,795.7,2.5,60.0,10,450,5.5
4511,4241.517857142858,795.7,2.5,200.0,10,450,5.5
4521,2788.101983002833,122.23,3.4,130.0,12,450,5.5
4531,2788.101983002833,122.23,3.4,150.0,12,450,5.5
