,Field_Name,CO2_kg_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
113,M7V2014,561.83,450.0,24.0,3.4,2910.8571428571427,186.3,0.0,24.2,0.0,114.4,0.0,122.4
114,M4V2061,181.96,450.0,17.0,2.5,4305.6,98.6424,0.0,0.55,0.0,2.6,0.0,90.0
115,M6V2050,-1724.9,450.0,9.0,4.05,2070.0,0.0,97.5,0.33,35.0,1.56,115.0,0.0
116,M6V2051,-1769.89,450.0,12.0,4.2,1793.0434782608695,0.0,97.5,0.33,35.0,1.56,115.0,0.0
117,M6V2043,1628.68,450.0,13.0,0.15,2368.6363636363635,0.0,224.5,0.0,87.5,0.0,132.5,0.0
118,M6V2044,394.27,450.0,11.0,1.6800000000000002,1887.2,0.0,224.5,0.0,87.5,0.0,132.5,0.0
119,M2I2029,592.87,350.0,8.0,2.5,4770.0,174.8,0.0,0.0,0.0,0.0,0.0,120.0
120,M2I2030,678.78,350.0,13.0,2.5,4025.9,174.8,0.0,0.0,0.0,0.0,0.0,120.0
121,M2I2031,662.85,350.0,11.0,2.5,4810.932203389831,174.8,0.0,0.0,0.0,0.0,0.0,120.0
122,M4V2043,-325.26,450.0,23.0,2.5,5194.744318181818,0.0,50.0,2.6500000000000004,0.0,2.6,50.0,0.0
123,M4V2044,198.65,450.0,20.0,2.16,4845.555555555556,0.0,149.6,2.6500000000000004,138.6,2.6,95.0,0.0
124,M7V2047,-917.13,450.0,10.0,4.5,1112.5,92.0,0.0,0.0,0.0,0.0,0.0,0.0
125,M6V2045,-900.04,450.0,11.0,3.6100000000000003,2051.276595744681,0.0,227.0,0.0,87.5,0.0,135.0,0.0
126,M2I2021,786.73,350.0,12.0,2.5,4986.866666666667,115.0,0.0,22.0,0.0,104.0,0.0,0.0
127,M2I2023,793.47,350.0,12.0,2.5,5081.8125,115.0,0.0,22.0,0.0,104.0,0.0,0.0
128,M2I2033,706.08,350.0,11.0,2.5,4409.770114942528,82.8,0.0,22.0,0.0,104.0,0.0,0.0
129,M2V2014,657.14,450.0,14.0,2.5,3812.621951219512,55.2,0.0,0.0,0.0,0.0,0.0,0.0
130,M6V2068,194.58,450.0,15.0,2.47,4800.896551724138,69.0,101.2,0.0,0.0,0.0,0.0,0.0
131,M4V2011,985.51,450.0,15.0,2.5,6087.083333333333,139.38,0.0,0.0,0.0,0.0,0.0,81.0
132,M7V2059,363.12,450.0,14.0,2.8,709.080459770115,115.0,0.0,0.0,0.0,0.0,0.0,0.0
