,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,CO2_kg_per_Ha
128,M7I2072,20.0,2.5,6337.936154417224,200.49,119.38,120.0,969.56
129,M7I2073,16.0,2.5,6838.920900995286,200.105,117.56,120.0,899.78
130,M7I2074,18.0,2.5,6835.833333333333,198.66,106.72,120.0,932.07
131,M6I20113,14.0,2.5,4542.794117647059,186.3,119.6,132.0,703.84
132,M7I2068,23.0,2.5,7416.722222222223,212.1,83.2,100.2,1217.99
133,M6I20136,21.0,2.5,4730.902377105931,211.5,130.0,150.0,1109.08
134,M6I20137,21.0,2.5,4390.595009596929,211.5,130.0,150.0,1098.14
135,M6I20138,21.0,2.5,7440.571428571428,211.5,130.0,150.0,1194.88
136,M6I20139,22.0,2.5,6708.032128514056,211.5,130.0,150.0,1192.08
137,M6I2079,8.0,2.5,9276.57142857143,297.12,99.84,97.2,1950.48
138,M6I2080,8.0,2.5,8748.695652173914,297.23,100.36,97.2,1935.19
139,M6I2081,13.0,2.5,8759.0,297.01,99.32,108.0,2039.91
140,M6I2082,13.0,2.5,7341.111111111111,297.45,101.4,111.0,2001.49
141,M6I2083,15.0,2.5,7038.75,297.56,101.92,111.0,2034.25
142,M6I2084,15.0,2.5,8870.0,228.34,100.88,97.8,1274.52
143,M6I2085,10.0,2.5,10769.454545454546,185.2,120.0,130.0,512.23
144,M6I2087,19.0,2.5,7521.25,197.9,109.2,69.0,993.24
145,M6I2099,18.0,2.5,7253.0,213.3,182.0,75.0,1109.08
146,M6I20100,17.0,2.5,10580.588235294115,209.3,119.6,120.0,1178.45
147,M6I20101,14.0,2.5,11482.658227848102,209.3,119.6,120.0,1145.55
148,M6I20102,12.0,2.5,9292.307692307691,209.3,119.6,120.0,1035.35
149,M7I2019,24.0,2.5,6757.086614173229,200.28,76.96,103.2,1107.87
150,M7I2020,24.0,2.5,6328.676470588235,200.28,76.96,105.0,1094.84
151,M7I2021,24.0,2.5,7115.833333333333,203.57999999999998,92.56,103.2,1150.63
152,M7I2022,24.0,2.5,7462.317073170731,199.18,71.76,103.2,1119.66
153,M7I2079,21.0,2.5,7727.701149425287,199.18,71.76,82.2,1057.6
154,M7I2080,23.0,2.5,8327.8,200.17000000000002,76.44,100.2,1134.51
155,M6I2073,22.0,2.5,7112.815533980583,206.0,104.0,102.0,1131.96
156,M6I2074,18.0,2.5,8368.155339805826,206.0,104.0,105.0,1091.1
157,M6I2076,19.0,2.5,3772.127659574468,212.6,135.2,132.0,1040.93
158,M7I2047,23.0,2.5,4091.84,185.6,108.0,122.0,785.26
159,M7I2048,19.0,2.5,6277.76,224.0,108.0,122.0,1050.97
160,M7I2049,24.0,2.5,6291.6,224.0,108.0,122.0,1153.82
161,M7I2050,24.0,2.5,6391.44,250.0,108.0,122.0,1549.26
162,M7I2051,22.0,2.5,8513.84,204.0,108.0,122.0,1085.45
163,M2I2039,19.0,2.5,7780.261437908497,141.4,124.8,132.0,459.49
164,M7I2066,21.0,2.5,8623.225806451614,201.6,83.2,100.2,1116.66
165,M7I2067,15.0,2.5,10497.584745762711,200.28,76.96,100.2,1040.41
166,M6I20121,18.0,2.5,7712.051282051282,162.275,1.3,115.8,1028.14
167,M6I20122,15.0,2.5,6163.571428571428,191.675,113.3,115.8,855.43
168,M6I20123,16.0,2.5,6139.166666666667,192.2,127.6,115.8,876.99
169,M6I20126,16.0,2.5,6679.238095238095,199.4,112.0,115.8,1088.88
170,M7I2087,24.0,2.5,7722.0,171.5,73.5,96.0,824.26
171,M7I2090,21.0,2.5,6595.576923076923,171.5,73.5,96.0,727.1
172,M6I20164,14.0,2.5,5946.145833333333,104.86,86.64,77.07,-490.81
173,M7I2093,24.0,2.5,3058.333333333333,210.84,126.88,105.0,1092.64
174,M7I2094,21.0,2.5,2771.078431372549,215.24,147.68,120.0,1070.82
175,M7I2095,22.0,2.5,3144.879518072289,216.34,152.88000000000002,120.0,1114.04
176,M7I2096,26.0,2.5,2507.4,198.94,109.38,120.0,960.06
177,M7I2097,22.0,2.5,2162.8571428571427,215.24,147.68,120.0,1072.26
178,M6I20135,15.0,2.5,7557.058823529412,200.2,119.88,132.0,905.4
179,M7I2091,20.0,2.5,6034.857142857143,201.16,81.12,80.4,1001.87
180,M7I2092,20.0,2.5,7116.666666666667,200.72,79.04,96.0,1038.38
181,M7I2084,20.0,2.5,2645.266666666667,216.34,152.88000000000002,120.0,1057.15
182,M7I2085,19.0,2.5,2991.969696969697,215.24,147.68,120.0,1036.88
183,M7I2086,23.0,2.5,2490.851063829787,206.44,106.08,105.0,1011.75
184,M6I20147,12.0,2.5,11270.5,161.0,120.0,122.0,-33.22
185,M6I20177,9.0,2.5,10953.25,185.2,120.0,70.0,472.93
186,M6I20157,12.0,2.5,5955.416666666667,235.04000000000002,145.6,130.2,1204.59
187,M6I20158,15.0,2.5,9202.135922330095,132.6,83.2,96.0,371.18
188,M6I20159,21.0,2.5,8292.0,212.6,135.2,90.0,1207.57
189,M6I20161,16.0,2.5,7427.25,236.0,93.6,102.0,1334.76
190,M6I20163,16.0,2.5,7566.5,220.3,143.6,152.0,1163.01
191,M6I20160,15.0,2.5,6394.0,236.0,93.6,102.0,1281.43
192,M6I20179,9.0,2.5,9647.333333333334,185.2,120.0,130.0,456.07
193,M7I2088,26.0,2.5,7742.875,171.5,73.5,96.0,865.97
194,M7I2089,26.0,2.5,6551.066666666667,172.0,77.0,192.0,870.72
195,M7I21131,20.0,3.950561797752809,6921.797752808989,157.45,80.6,111.0,-398.67
196,M7I2196,20.0,3.2,6345.0,137.53500000000003,77.22,109.98,-53.86
197,M7I2198,22.0,3.4,5768.148148148148,97.878,79.976,98.16,-550.94
198,M7I2199,23.0,3.0,5385.4098360655735,133.9,88.4,100.2,158.85
199,M7I2177,20.0,2.459999918937683,7526.341463414634,204.9,98.8,108.0,1125.68
200,M7I2178,25.0,2.837500015894572,7687.6,111.8,93.6,108.0,106.79
201,M7I2179,20.0,3.4375,7526.354166666667,19.8,93.6,120.0,-1147.02
202,M6I2161,15.0,3.330000000000003,6480.0,213.7,140.4,138.0,441.3
203,M6I2142,21.0,2.9875,9095.272595544286,210.4,124.8,150.0,874.36
204,M6I21119,15.0,3.0355140186915888,3024.769230769231,15.0,90.0,120.0,-1190.97
205,M6I21120,15.0,3.318181818181818,2710.3076923076924,15.0,90.0,120.0,-1410.83
206,M6I21121,15.0,3.0355140186915888,3024.8571428571427,15.0,90.0,120.0,-1190.97
207,M6I21124,15.0,3.1419354838709674,3266.830065359477,15.0,90.0,120.0,-1262.25
208,M6I2146,15.0,2.67,6736.851851851852,34.4,120.4,68.8,-780.0
209,M6I2147,15.0,2.66,6363.333333333333,34.4,120.4,68.8,-784.57
210,M6I2148,15.0,2.66,3400.0,34.4,120.4,68.8,-878.14
211,M6I2149,15.0,2.76,7722.5,34.4,120.4,68.8,-815.78
212,M6I2150,15.0,2.62,4736.5,34.4,120.4,68.8,-806.41
213,M6I2151,15.0,2.8,6221.428571428572,34.4,120.4,68.8,-892.81
214,M6I2152,15.0,2.22,4187.666666666667,34.4,120.4,68.8,-526.57
215,M6I21186,15.0,2.2394736842105263,3097.375,204.6,130.0,130.2,1050.18
216,M6I21187,15.0,2.4363636363636365,2185.0,204.6,130.0,130.2,874.96
217,M6I21188,24.0,2.6045454545454545,1858.9166666666667,204.6,130.0,130.2,924.29
218,M2I2118,15.0,3.525,4175.988023952096,130.20000000000002,93.6,120.0,-560.47
219,M2I2121,9.0,3.595,4123.609467455622,19.8,93.6,120.0,-1596.85
220,M2I2122,9.0,3.365,6385.785123966943,185.95000000000002,96.2,120.0,10.59
221,M6I2185,15.0,2.5,7342.524916943521,247.0,120.0,160.0,1227.33
222,M6I2186,15.0,2.5,7342.532467532467,247.0,120.0,160.0,1227.33
223,M7I2156,21.0,3.8,6652.177246243484,187.76,135.2,120.0,-43.81
224,M7I2157,21.0,3.4,7674.285714285715,189.14,135.2,111.0,295.39
225,M7I2158,24.0,3.6,7704.150943396226,179.88,93.6,103.8,120.65
226,M7I2101,17.0,3.4,9272.75,210.98,88.4,114.0,486.58
227,M7I2102,22.0,1.662,4491.777777777777,19.8,93.6,114.0,67.82
228,M7I2103,20.0,3.7,6625.538461538462,111.8,93.6,90.0,-677.41
229,M7I2104,15.0,2.5,6030.0,213.0,93.6,108.0,1029.05
230,M7I2105,21.0,3.6,6828.0,201.6,83.2,108.0,245.89
231,M7I2106,17.0,3.5,6522.888888888889,200.39999999999998,88.4,108.0,216.15
232,M7I2107,19.0,2.0926829268292684,6377.125,232.5,98.8,108.0,1629.12
233,M7I2108,16.0,3.5,9417.692307692309,208.4,93.6,90.0,359.61
234,M7I2194,17.0,1.825,7513.461538461538,20.9,98.8,108.0,-7.88
235,M7I2195,17.0,1.5182795698924731,7513.406593406594,19.8,93.6,90.0,157.5
236,M2I2105,14.0,3.546875,8181.142857142857,187.60000000000002,104.0,132.0,55.05
237,M6I21189,15.0,3.1,7688.625,206.0,104.0,108.0,563.59
238,M6I2102,15.0,2.5,7189.28,232.0,120.0,120.0,1019.7
239,M6I2107,15.0,2.845833333333333,6207.2,237.5,105.0,120.0,-195.48
