Crop_Protection_Application_Doses,Soil_Organic_Matter,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,CO2_kg_per_Ha,Yield_kg_per_Ha
24,2.551489362,184,0,0,0,0,0,0,993.89,9424.782609
23,2.399666667,184,0,0,0,0,0,0,1038.15,7915.083333
28,2.803409091,184,0,0,0,0,0,0,834.37,7711.978022
20,2.5,119.6,0,0,0,0,0,0,266.63,6222.300885
15,2.5,0,181.305,0,0,0,0,138,-75.24,7627.272727
16,2.5,0,193.23,0,0,0,0,94.8,76.09,10810.18519
21,2.5,0,176.94,0,0,0,0,138.6,-3.68,6524.8
15,2.5,0,184.68,0,0,0,0,159.6,-16.24,8779.380531
11,2.9,106.72,0,57.86,0,98.8,0,0,76.92,3938.991597
10,2.7,80.96,42.24,58.3,0,100.88,17.6,0,261.41,7206.190476
18,2.5,0,181.71,0,0,0,0,125.7,-71.95,5889.714286
15,2.5,0,173.7,0,0,0,0,133.32,-171.78,5573.333333
17,2.2,174.8,0,0,0,0,0,141,1113,10422.65734
13,3.5,87.4,0,0,0,0,0,96,-760.82,8869.863014
11,2.2,173.65,0,0,0,0,0,114,820,5752.083333
15,2.5,151.8,0,0,0,0,0,84,474.06,6034.285714
13,2.5,184,0,0,0,0,0,90,734.38,5973.846154
15,3.944166667,174.8,0,0,0,0,0,90,-342.56,7328.795812
12,2.1,184,0,0,0,0,0,120,1114.17,8843.460892
13,4.546842105,82.8,82.5,0,0,0,30,0,-1323.71,8287.2
12,4.336,128.8,82.5,0,0,0,37.5,0,-750.58,8626
18,3.7,184,0,25.3,0,119.6,0,0,240.19,8892.888889
16,4,184,0,25.3,0,119.6,0,0,-58.27,7797.555556
16,3.7,184,0,25.3,0,119.6,0,0,113.04,6168.210526
15,4.01,46,0,0,0,0,0,0,-1403.76,10580.69767
15,3.7,138,0,0,0,0,0,0,-454.09,9857
14,2.218181818,170.2,0,0,0,0,0,108,854.53,6424.923077
13,1.992857143,165.6,0,0,0,0,0,114,972.93,6806.216216
15,2.166666667,170.2,0,0,0,0,0,114,936.96,7095.833333
21,2.901666667,184,0,30.8,0,145.6,0,120,1119.41,12740.86957
19,3.727576923,184,0,30.8,0,145.6,0,120,183.82,3862.125
14,2.879366667,184,0,30.8,0,145.6,0,120,887.96,9444.08
13,2.683333333,101.2,61.56,0,0,0,20.52,48,134.81,7726.666667
16,4.5,186.3,0,35.36,0,117.52,0,90,-270.7,7871.72043
22,4.015,186.3,0,22,0,104,0,120,78.11,7277.131148
25,3.505,186.3,0,22.55,0,106.6,0,120,498.02,6395
28,3.42745098,186.3,0,33.38,0,108.16,0,78,675.88,5601.866667
22,2.5,186.3,0,22.88,0,108.16,0,120,1260.4,8800.714286
18,3.254545455,184,0,22,0,104,0,120,518.34,6661.2
21,3.25,0,44.55,66.55,0,104,0,120,-65.3,6954
10,3.178214286,147.2,0,0,0,0,0,90,-92.35,8528.392857
14,2.5,4.6,92.4,0.55,124.5,2.6,131.5,60,-266.22,10678.26087
23,2.5,4.6,197.4,0.55,124.5,2.6,169,0,297.04,11137.24138
15,2.62,0,0,0,0,0,0,75,-773.93,7390.37037
24,2.62,98.9,0,0,0,0,0,105,61.57,4024.255319
11,2.486666667,0,198,0,90,0,30,90,-85.23,7473.566879
25,3.1,184,0,27.5,0,130,0,108,889.29,8704.852941
29,2.3,184,24,0,120,0,0,108,1379.92,6867.156863
15,0.590333333,0,23.3,0,76.89,0,0,0,802.59,9676
15,1.453709677,46,23.3,0,76.89,0,0,0,534.02,11065.76
15,0.59,0,0,0,0,0,90,0,744.04,9590.416667
15,3.73,0,90,22.33,0,105.56,120,0,-1008.32,12916.55172
15,2.4,0,0,29.7,0,140.4,0,0,-454.38,6429.756098
13,2.741666667,216.2,0,0,0,0,0,90,836.03,4611.452991
15,2.665,174.8,0,0,0,0,0,0,532.7,6139.40678
12,2.6,184,0,0.66,0,3.12,0,0,562.63,4517.25
26,2.4,184,0,1.32,0,6.24,0,0,1044.24,5779.655172
25,4,184,0,28.38,0,134.16,0,162,211.31,7427.75
28,2.186428571,170.2,0,27.5,0,130,0,114,1417.4,6290.869565
25,2.4338,170.2,0,33,0,156,0,114,1180.36,4910.8
25,3.068571429,174.8,0,33,0,156,0,114.6,780.88,5725.714286
24,2.4338,170.2,0,27.5,0,130,0,114,1076.78,3928.4
15,2.5,184,0,22,0,104,120,0,1107.97,10627.33333
15,2.5,0,0,22,0,104,0,120,-433.52,9658.608696
14,2.563913043,161,0,33,0,156,0,115.8,765.19,4805.416667
17,2.717777778,170.2,0,33,0,156,0,115.8,871.47,6978.75
25,2.535714286,170.2,0,27.5,0,130,0,115.8,1031.5,4213.561644
16,2.584615385,243.8,0,33,0,156,0,115.8,1705.3,5381.578947
31,3.27,268.18,0,16.28,0,76.96,0,120,1626.4,5677.607362
27,2.5,193.2,0,16.28,0,76.96,0,0,1198.62,4981.533333
37,2.5,201.48,0,16.28,0,76.96,0,111,1555.52,5611.565217
33,2.5,207,0,16.28,0,76.96,0,0,1550.66,7689.245283
32,2.5,184,0,16.28,0,76.96,0,0,1198.42,4662.666667
20,2.928571429,184,0,49.06,0,231.92,0,132,1131.2,8543.68
18,3.9,170.66,0,48.4,0,228.8,0,115.2,183.79,7527.272727
18,3.54,174.8,0,48.73,0,230.36,0,118.2,497.31,7495
18,3.657142857,190.44,0,49.06,0,231.92,0,124.2,567.74,7065.106383
19,3.3125,184,0,49.06,0,231.92,0,118.2,742.46,6109.166667
27,2.5,184,0,90.64,0,428.48,0,135.6,2027.96,8636.666667
28,2.596428571,177.1,21.7776,25.6662,76.2216,0,32.6664,39.996,1296,7594.888889
27,2.745945946,229.6228,16.3632,27.489,73.6344,0,16.3632,38.178,1704.04,6293.545455
24,2.371052632,139.9964,20.8656,25.746,73.0296,0,31.2984,38.082,931.08,5362.086957
18,2.5,0,54,74.13,0,95.16,0,120,654.06,8170.47619
16,2.5,0,0,22,0,104,0,114,-499.54,7009.166667
21,2.5,46,0,26.07,0,123.24,0,120,62.84,9692.583333
18,2.5,69,36.45,61.97,0,120.64,0,120,922.66,8304.190476
21,2.5,0,54,71.93,0,84.76,0,120,687.7,7864
26,2.5,115,16.2,43.975,0,131.3,0,120,1101.12,9402.833333
10,4.3,0,0,24.2,0,114.4,0,120,-1917.69,7749.830508
23,2.5,92,0,22,0,104,0,102,434.41,9795.375
36,2.5,184,0,17.6,0,83.2,0,108,1367.99,5625.3
31,2.5,184,0,24.2,0,114.4,0,90,1269.01,3978
22,2.5,0,0,20.9,0,98.8,0,90,-402.67,6748.1
30,2.5,188.6,0,17.6,0,83.2,0,108,1324.09,6660.930233
25,2.5,0,0,22,0,104,0,90,-408.64,4366
20,2.5,0,0,24.2,0,114.4,0,90,-346.99,9044.076923
21,2.5,92,0,24.2,0,114.4,0,84,384.3,9175.428571
