,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,N_total_kg_per_Ha,P_total_kg_per_Ha,K_total_kg_per_Ha
206,874.36,21.0,2.9875,141.4,124.8,150.0
207,-1190.97,15.0,3.0355140186915888,15.0,90.0,120.0
208,-1410.83,15.0,3.318181818181818,15.0,90.0,120.0
209,-1190.97,15.0,3.0355140186915888,15.0,90.0,120.0
210,-1262.25,15.0,3.1419354838709674,15.0,90.0,120.0
211,-780.0,15.0,2.67,34.4,120.4,68.8
212,-784.57,15.0,2.66,34.4,120.4,68.8
213,-878.14,15.0,2.66,34.4,120.4,68.8
214,-815.78,15.0,2.76,34.4,120.4,68.8
215,-806.41,15.0,2.62,34.4,120.4,68.8
216,-892.81,15.0,2.8,34.4,120.4,68.8
217,-526.57,15.0,2.22,34.4,120.4,68.8
218,1050.18,15.0,2.2394736842105263,204.6,130.0,130.2
219,874.96,15.0,2.4363636363636365,204.6,130.0,130.2
220,924.29,24.0,2.6045454545454545,204.6,130.0,130.2
221,-560.47,15.0,3.525,75.0,93.6,120.0
222,-1596.85,9.0,3.595,19.8,93.6,120.0
223,10.59,9.0,3.365,75.55000000000001,96.2,120.0
224,1227.33,15.0,2.5,109.0,120.0,160.0
225,1227.33,15.0,2.5,109.0,120.0,160.0
226,-43.81,21.0,3.8,187.76,135.2,120.0
227,295.39,21.0,3.4,135.78,135.2,111.0
228,120.65,24.0,3.6,179.88,93.6,103.8
229,486.58,17.0,3.4,210.98,88.4,114.0
230,67.82,22.0,1.662,19.8,93.6,114.0
231,-677.41,20.0,3.7,111.8,93.6,90.0
232,1029.05,15.0,2.5,213.0,93.6,108.0
233,245.89,21.0,3.6,109.6,83.2,108.0
234,216.15,17.0,3.5,200.4,88.4,108.0
235,1629.12,19.0,2.0926829268292684,232.5,98.8,108.0
236,359.61,16.0,3.5,208.4,93.6,90.0
237,-7.88,17.0,1.825,20.9,98.8,108.0
238,157.5,17.0,1.5182795698924731,19.8,93.6,90.0
239,55.05,14.0,3.546875,77.2,104.0,132.0
240,563.59,15.0,3.1,114.0,104.0,108.0
241,1019.7,15.0,2.5,140.0,120.0,120.0
242,1296.1,17.0,2.5,140.0,120.0,120.0
243,-195.48,15.0,2.845833333333333,102.5,105.0,120.0
244,754.39,15.0,3.0529411764705885,104.0,105.0,155.0
245,1094.21,15.0,2.5821428571428573,104.0,105.0,35.0
246,991.57,15.0,2.6923076923076925,104.0,105.0,120.0
247,904.21,22.0,2.988888889,171.22,157.04,120.0
248,2003.94,17.0,1.982222222,171.0,156.0,139.8
249,486.93,15.0,3.2851851850000005,125.0,156.0,138.0
250,1290.53,17.0,2.23,161.8,156.0,120.0
251,212.07,24.0,2.66,204.5,128.0,56.0
252,525.88,23.0,2.25,96.5,128.0,56.0
253,-501.85,20.0,2.45,56.0,128.0,56.0
254,-367.94,20.0,2.74,96.5,128.0,56.0
255,-447.93,20.0,2.88,96.5,128.0,56.0
256,286.75,19.0,2.45,204.5,56.0,128.0
257,420.36,23.0,2.41,204.5,128.0,56.0
258,327.75,21.0,2.45,204.5,56.0,128.0
259,232.41,20.0,2.5,96.5,128.0,56.0
260,306.89,19.0,2.6,150.8,104.0,108.0
261,283.84,21.0,2.7,150.8,104.0,108.0
262,-293.4,19.0,3.4,150.8,104.0,108.0
263,78.75,20.0,2.9,150.8,104.0,108.0
264,14.22,20.0,3.1,150.8,104.0,108.0
265,1081.32,17.0,2.5,230.1,129.5,18.5
266,863.47,10.0,2.293846153846154,129.17000000000002,92.6,120.0
267,-254.38,13.0,3.785454545454545,184.37,92.6,120.0
268,9.29,12.0,3.2555555555555555,184.315,92.34,168.0
269,945.65,24.0,2.7826666666666666,114.44,106.08,90.0
270,1256.69,23.0,2.2,114.38,99.56,132.6
271,525.31,20.0,3.1,114.38,99.56,132.0
272,917.24,21.0,2.6,114.38,99.56,132.0
273,155.08,15.0,2.5,121.7,140.4,138.0
274,1291.91,19.0,2.5,183.8,112.0,64.0
275,1070.86,20.0,2.8705882352941177,148.01999999999998,120.64,132.0
276,-161.42,14.0,3.2375,144.72,105.04,120.0
277,1079.74,18.0,2.803125,148.075,120.9,120.0
278,1470.48,20.0,2.34375,148.35,122.2,132.0
279,1054.28,17.0,2.771875,146.7,114.4,120.0
280,161.83,15.0,2.8657142857142857,147.8,119.6,120.0
281,995.21,19.0,2.9611111111111112,148.01999999999998,120.64,132.0
282,1525.87,18.0,2.1638888888888888,148.01999999999998,120.64,120.0
283,652.68,16.0,3.203333333333333,148.01999999999998,120.64,120.0
284,553.37,19.0,3.55625,148.01999999999998,120.64,132.0
285,826.22,21.0,3.17,148.01999999999998,120.64,132.0
286,-109.83,11.0,3.6208333333333336,108.0,118.4,120.0
287,-113.96,14.0,3.6583333333333337,108.0,118.4,120.0
288,4.76,11.0,3.6125,108.0,118.4,120.0
289,201.58,11.0,3.201639344262295,108.0,118.4,120.0
290,-199.84,14.0,3.778688524590164,108.0,118.4,120.0
291,-219.87,13.0,3.756666666666667,108.0,118.4,120.0
292,74.28,13.0,2.55,204.5,56.0,128.0
293,127.18,15.0,2.55,204.5,56.0,132.8
294,193.44,15.0,2.46,204.5,56.0,128.0
295,215.73,15.0,2.43,204.5,56.0,128.0
296,128.99,9.0,2.375,204.5,56.0,128.0
297,-121.4,15.0,3.648484848484848,159.3,114.4,114.0
298,-140.26,15.0,3.574647887323944,159.3,112.2,114.0
299,1363.32,16.0,1.8857142857142857,209.0,70.0,97.0
300,1199.44,15.0,1.7,209.0,70.0,97.0
301,949.9,15.0,2.20625,104.65,70.84,72.0
302,1283.56,11.0,1.586111111111111,104.65,93.61,72.0
303,1303.87,17.0,1.9933333333333327,117.0,70.0,97.0
304,890.51,12.0,2.225,209.0,70.0,97.0
305,1038.11,21.0,2.5,106.33,105.16,120.0
306,205.61,19.0,2.5,109.22,103.6,120.0
307,1306.64,12.0,1.5,117.0,70.0,97.0
308,595.45,19.0,3.1,210.8,108.0,162.0
309,661.0,18.0,3.1,128.0,108.0,162.0
310,1104.08,22.0,2.5,114.44,106.08,120.0
311,1091.39,23.0,2.5,114.44,106.08,120.0
312,1029.89,20.0,2.5,114.44,106.08,120.0
313,-567.71,13.0,3.725806160860284,125.3,78.0,84.0
314,-410.53,22.0,3.641414141414141,128.5,78.0,66.0
315,383.8,13.0,2.5,131.7,78.0,84.0
316,567.91,27.0,2.8,171.5,77.7,90.0
317,56.43,27.0,3.5,171.5,77.7,120.0
318,1327.21,23.0,1.6800000000000002,145.0,104.0,120.0
319,1293.0,17.0,1.5666666666666669,145.0,104.0,120.0
320,835.69,26.0,2.4511111111111115,145.0,104.0,120.0
321,571.3,24.0,2.542222222222222,143.0,92.0,120.0
322,1420.99,25.0,1.551923076923077,145.0,104.0,120.0
323,546.65,12.0,2.69875,125.0,94.0,90.0
324,643.77,19.0,2.89,125.0,94.0,90.0
325,767.85,18.0,2.635,125.0,94.0,90.0
326,706.31,17.0,2.7625,125.0,94.0,90.0
327,950.91,17.0,2.38,125.0,94.0,90.0
328,-1154.65,15.0,2.93,10.0,94.0,90.0
329,83.5,17.0,3.3,180.7,77.7,102.0
330,349.32,29.0,3.1,171.5,77.7,78.0
331,116.95,27.0,3.35,171.5,77.7,78.0
332,401.31,30.0,3.05,171.5,77.7,78.0
333,-768.13,15.0,2.8,38.0,91.2,38.0
334,2902.12,15.0,3.905769230769231,211.7,109.2,102.0
335,-360.06,20.0,3.325,115.1,109.2,102.0
336,772.27,12.0,2.7125,115.65,111.8,120.0
337,1047.35,11.0,2.2285714285714286,115.65,111.8,120.0
338,1158.87,16.0,2.18125,115.65,111.8,120.0
339,1095.32,14.0,2.1707317073170733,115.65,111.8,120.0
340,945.5,17.0,2.7564102564102564,153.8,93.6,120.0
341,2071.85,23.0,2.5,210.0,104.0,120.0
342,928.75,13.0,2.661904761904762,153.8,93.6,108.0
343,326.57,16.0,2.6166666666666667,153.8,93.6,90.0
344,572.75,25.0,2.5,108.1,83.2,120.0
345,1915.66,25.0,2.7564102564102564,210.0,104.0,120.0
346,1348.88,14.0,2.5708333333333333,114.4,78.4,134.8
347,1061.97,16.0,2.5278260869565217,153.8,93.6,120.0
348,354.92,15.0,3.2,114.4,112.0,120.0
349,131.19,15.0,3.5,111.2,96.0,108.0
350,109.16,15.0,3.6,111.2,96.0,108.0
351,1055.45,15.0,2.3,111.2,96.0,108.0
